code,indice
N48578,1
N24171,2
N22320,3
N64095,4
N35236,5
N11681,6
N28523,7
N56952,8
N42860,9
N60272,10
N58710,11
N6553,12
N17011,13
N11551,14
N8957,15
N24109,16
N25867,17
N25979,18
N61233,19
N1965,20
N15462,21
N25639,22
N34362,23
N63341,24
N43432,25
N9621,26
N60932,27
N54125,28
N61483,29
N37242,30
N49180,31
N60872,32
N29696,33
N7618,34
N54303,35
N42088,36
N51764,37
N26025,38
N31029,39
N58413,40
N27560,41
N24104,42
N36931,43
N3102,44
N18943,45
N41921,46
N13423,47
N59142,48
N44830,49
N1774,50
N7128,51
N11856,52
N25467,53
N63268,54
N15071,55
N17106,56
N6960,57
N7821,58
N40559,59
N33677,60
N52474,61
N43073,62
N8191,63
N21351,64
N41354,65
N49157,66
N33212,67
N24180,68
N13051,69
N29218,70
N18708,71
N39601,72
N3726,73
N16543,74
N34092,75
N36659,76
N57943,77
N3243,78
N41020,79
N19903,80
N55593,81
N57248,82
N61740,83
N20283,84
N16022,85
N30088,86
N6056,87
N48839,88
N1539,89
N23089,90
N26262,91
N38442,92
N27869,93
N16809,94
N62599,95
N6890,96
N4754,97
N61373,98
N50469,99
N21712,100
N35161,101
N38511,102
N34302,103
N19511,104
N49712,105
N20231,106
N51133,107
N55631,108
N50415,109
N31370,110
N48647,111
N61359,112
N25324,113
N17307,114
N4807,115
N48309,116
N62645,117
N20270,118
N48705,119
N29065,120
N40071,121
N49919,122
N26043,123
N12379,124
N56777,125
N50406,126
N54752,127
N10960,128
N61185,129
N52045,130
N30475,131
N37384,132
N39047,133
N29340,134
N13801,135
N32387,136
N5288,137
N53940,138
N37774,139
N962,140
N5001,141
N48958,142
N47096,143
N1199,144
N4021,145
N8084,146
N32087,147
N52600,148
N39774,149
N8643,150
N51220,151
N17183,152
N33291,153
N57,154
N45554,155
N11860,156
N51478,157
N35744,158
N50688,159
N51346,160
N6693,161
N25073,162
N9914,163
N35094,164
N9392,165
N23547,166
N43370,167
N9473,168
N17342,169
N56598,170
N13930,171
N43733,172
N47889,173
N52180,174
N2869,175
N33197,176
N52485,177
N32118,178
N36910,179
N24848,180
N32791,181
N36261,182
N35172,183
N40702,184
N37533,185
N37764,186
N64542,187
N46821,188
N5370,189
N31384,190
N64174,191
N27063,192
N60904,193
N35622,194
N64536,195
N4642,196
N14523,197
N58051,198
N48755,199
N57005,200
N63311,201
N45076,202
N28585,203
N17103,204
N37338,205
N64094,206
N18613,207
N29133,208
N42670,209
N43202,210
N27205,211
N20018,212
N58114,213
N3491,214
N2,215
N35729,216
N43338,217
N22221,218
N27826,219
N62688,220
N18522,221
N44651,222
N21484,223
N849,224
N43992,225
N46666,226
N61768,227
N35644,228
N32544,229
N36599,230
N3707,231
N48698,232
N43502,233
N32854,234
N38159,235
N7365,236
N32211,237
N61349,238
N55880,239
N1319,240
N18553,241
N13094,242
N16148,243
N3589,244
N55083,245
N2389,246
N13864,247
N32144,248
N83,249
N2235,250
N15855,251
N10552,252
N36837,253
N49610,254
N61688,255
N11484,256
N61623,257
N27737,258
N19268,259
N32030,260
N57426,261
N47748,262
N41172,263
N61822,264
N7795,265
N37420,266
N18978,267
N19466,268
N47020,269
N13259,270
N42264,271
N38662,272
N4148,273
N38695,274
N37437,275
N21863,276
N17228,277
N19911,278
N8015,279
N58814,280
N38691,281
N50302,282
N34799,283
N63583,284
N28432,285
