UserID,R,S,R_l
U13252,N62729 N5497,N5497,"['N62729', 'N5497']"
U39219,N6578 N45734 N23446 N29212,N45734,"['N6578', 'N45734', 'N23446', 'N29212']"
U9536,N33619 N20079 N50675 N47578,N33619,"['N33619', 'N20079', 'N50675', 'N47578']"
U66311,N48203 N60550 N56211 N36003 N4021,N56211,"['N48203', 'N60550', 'N56211', 'N36003', 'N4021']"
U86132,N53585 N55204 N45270 N21707,N53585,"['N53585', 'N55204', 'N45270', 'N21707']"
U76092,N59981 N35729 N63550 N7809,N59981,"['N59981', 'N35729', 'N63550', 'N7809']"
U6234,N55689 N35729,N55689,"['N55689', 'N35729']"
U51525,N39010 N287 N51048 N64094,N39010,"['N39010', 'N287', 'N51048', 'N64094']"
U7555,N28523 N10913 N39010 N287 N49483,N287,"['N28523', 'N10913', 'N39010', 'N287', 'N49483']"
U81892,N50675 N54489 N36789 N16920,N50675,"['N50675', 'N54489', 'N36789', 'N16920']"
U70507,N33619 N47578 N20079 N50675,N33619,"['N33619', 'N47578', 'N20079', 'N50675']"
U68996,N13930 N38662 N55204 N55689 N23414,N55689,"['N13930', 'N38662', 'N55204', 'N55689', 'N23414']"
U4995,N40559 N50872 N24014 N48875 N58660,N24014,"['N40559', 'N50872', 'N24014', 'N48875', 'N58660']"
U47083,N4642 N39774,N4642,"['N4642', 'N39774']"
U15607,N23548 N47020 N51398,N23548,"['N23548', 'N47020', 'N51398']"
U44723,N57032 N35773 N18978 N26811,N57032,"['N57032', 'N35773', 'N18978', 'N26811']"
U415,N4642 N53848 N33501,N33501,"['N4642', 'N53848', 'N33501']"
U91749,N23877 N8015 N64174 N50872 N40109,N40109,"['N23877', 'N8015', 'N64174', 'N50872', 'N40109']"
U58852,N41224 N26952 N49685 N36681,N49685,"['N41224', 'N26952', 'N49685', 'N36681']"
U93717,N53585 N55689,N53585,"['N53585', 'N55689']"
U84256,N36599 N42977 N12029 N7821,N12029,"['N36599', 'N42977', 'N12029', 'N7821']"
U84186,N35729 N55689,N55689,"['N35729', 'N55689']"
U24985,N40109 N50872,N40109,"['N40109', 'N50872']"
U61126,N4642 N56214,N56214,"['N4642', 'N56214']"
U5853,N20495 N19092 N6890 N33885,N33885,"['N20495', 'N19092', 'N6890', 'N33885']"
