code,indice
U42167,1
U32118,2
U20017,3
U45259,4
U235,5
U82004,6
U85889,7
U21492,8
U54122,9
U62311,10
U61686,11
U50267,12
U45090,13
U42061,14
U8947,15
U76224,16
U53405,17
U11193,18
U83125,19
U84947,20
U47942,21
U13714,22
U18906,23
U70947,24
U85135,25
U41727,26
U15454,27
U4877,28
U82202,29
U70868,30
U38686,31
U20978,32
U34471,33
U88252,34
U68359,35
U73866,36
U66074,37
U43270,38
U998,39
U88513,40
U46361,41
U77131,42
U22986,43
U62768,44
U77506,45
U31706,46
U30504,47
U11577,48
U83311,49
U60480,50
U77920,51
U7178,52
U16104,53
U91958,54
U14987,55
U90041,56
U21929,57
U92553,58
U67915,59
U24772,60
U55125,61
U65050,62
U8705,63
U55203,64
U13612,65
U50571,66
U10440,67
U16011,68
U35554,69
U69416,70
U54770,71
U77164,72
U48050,73
U61141,74
U6318,75
U21955,76
U85063,77
U63546,78
U86942,79
U90251,80
U71426,81
U67026,82
U33955,83
U65795,84
U39008,85
U74845,86
U68566,87
U57517,88
U41142,89
U21047,90
U82834,91
U9877,92
U58562,93
U4560,94
U85846,95
U86635,96
U31726,97
U82026,98
U65122,99
U49628,100
U8887,101
U53808,102
U34459,103
U26011,104
U88136,105
U34195,106
U78662,107
U58552,108
U55420,109
U80305,110
U89424,111
U30952,112
U58273,113
U66426,114
U59079,115
U71090,116
U32112,117
U67255,118
U17750,119
U39719,120
U13529,121
U75119,122
U82907,123
U77742,124
U56811,125
U79929,126
U71340,127
U75805,128
U52496,129
U3638,130
U69685,131
U54306,132
U49829,133
U20548,134
U35772,135
U41899,136
U11390,137
U39239,138
U63084,139
U38390,140
U54495,141
U62722,142
U91195,143
U51800,144
U883,145
U48439,146
U38646,147
U66324,148
U27300,149
U28839,150
U69387,151
U44054,152
U6767,153
U28143,154
U8124,155
U41552,156
U7721,157
U45238,158
U62084,159
U57148,160
U75114,161
U30457,162
U36870,163
U48317,164
U16729,165
U53034,166
U8083,167
U22037,168
U49409,169
U10332,170
U187,171
U83359,172
U51810,173
U26106,174
U41630,175
U36043,176
U85297,177
U11087,178
U33629,179
U82377,180
U1685,181
U81421,182
U21002,183
U87646,184
U78749,185
U1652,186
U5683,187
U64681,188
U90447,189
U73336,190
U35601,191
U91204,192
U25680,193
U7589,194
U24142,195
U7998,196
U93895,197
U36546,198
U57713,199
U26478,200
U72337,201
U37177,202
U77921,203
U31854,204
U20588,205
U9872,206
U93621,207
U25774,208
U63963,209
U77681,210
U54395,211
U55860,212
U93177,213
U18174,214
U33672,215
U49985,216
U458,217
U60759,218
U56364,219
U40545,220
U12151,221
U16579,222
U40223,223
U26872,224
U67664,225
U33437,226
U593,227
U1046,228
U89691,229
U83058,230
U84079,231
U14037,232
U93773,233
U90,234
U16550,235
U54576,236
U90144,237
U78750,238
U41035,239
U33118,240
U78753,241
U5767,242
U13340,243
U54505,244
U83430,245
U20618,246
U64102,247
U75667,248
U175,249
U79705,250
U35603,251
U79037,252
U6032,253
U55084,254
U58077,255
U20214,256
U74251,257
U6295,258
U60176,259
U31900,260
U37246,261
U11228,262
U51944,263
U75658,264
U43798,265
U79508,266
U79452,267
U15708,268
U58855,269
U28105,270
U79297,271
U28198,272
U76631,273
U4510,274
U90345,275
U8696,276
U35994,277
U18865,278
U65517,279
U41586,280
U13442,281
U83877,282
U61459,283
U62888,284
U70453,285
U60236,286
U28864,287
U88315,288
U70575,289
U83510,290
U27245,291
U56287,292
U77139,293
U27234,294
U54802,295
U4931,296
U81548,297
U56519,298
U66332,299
U83329,300
U61097,301
U7906,302
U83742,303
U80748,304
U93808,305
U73001,306
U3060,307
U23808,308
U36774,309
U8987,310
U86448,311
U40897,312
U49014,313
U86122,314
U32945,315
U68565,316
U83610,317
U59324,318
U24013,319
U32663,320
U81446,321
U15940,322
U52202,323
U79347,324
U45314,325
U20317,326
U13863,327
U26605,328
U67882,329
U78029,330
U69579,331
U58001,332
U73262,333
U62294,334
U83067,335
U16569,336
U75931,337
U68598,338
U6474,339
U86922,340
U85517,341
U67937,342
U90817,343
U32999,344
U76449,345
U45915,346
U80698,347
U35856,348
U68347,349
U33457,350
U15765,351
U53137,352
U33218,353
U29787,354
U37980,355
U58642,356
U31131,357
U89439,358
U680,359
U22742,360
U21557,361
U33329,362
U58705,363
U84030,364
U82647,365
U3197,366
U57367,367
U34720,368
U19756,369
U8014,370
U57764,371
U16790,372
U24913,373
U29685,374
U30005,375
U35260,376
U8571,377
U19808,378
U41989,379
U60145,380
U74939,381
U86115,382
U7425,383
U12922,384
U36859,385
U48901,386
U11364,387
U27472,388
U28866,389
U40584,390
U69355,391
U20779,392
U84704,393
U67010,394
U55335,395
U33807,396
U14702,397
U15816,398
U58228,399
U68968,400
U24362,401
U44068,402
U11828,403
U42402,404
U42005,405
U9984,406
U13883,407
U25433,408
U80672,409
U58384,410
U2808,411
U28990,412
U19466,413
U53080,414
U44705,415
U80414,416
U63263,417
U46353,418
U11572,419
U81399,420
U12931,421
U9028,422
U39125,423
U25653,424
U5675,425
U84194,426
U51368,427
U31487,428
